match_type,venue,city,toss_winner,toss_decision,team1,team2,overs_limit,balls_per_over,first_innings_runs,first_innings_wickets,first_innings_extras,first_innings_boundaries,first_innings_overs,second_innings_runs,second_innings_wickets,second_innings_extras,second_innings_boundaries,second_innings_overs,season,player_of_the_match,result
"ODI","Hagley Oval","Christchurch","New Zealand","bat","New Zealand","Bangladesh","50","6","341","7","17","33","50.3","264","10","26","30","47.5","2016/17","TWM Latham","New Zealand"
"ODI","Saxton Oval","Nelson","Bangladesh","field","New Zealand","Bangladesh","50","6","251","10","12","29","50.4","184","10","16","20","44.3","2016/17","NT Broom","New Zealand"
"ODI","Saxton Oval","Nelson","Bangladesh","bat","New Zealand","Bangladesh","50","6","236","9","17","21","51.3","239","3","9","29","42.2","2016/17","KS Williamson","New Zealand"
"T20","McLean Park","Napier","Bangladesh","bat","New Zealand","Bangladesh","20","6","141","8","18","12","22.2","143","4","3","15","18.2","2016/17","KS Williamson","New Zealand"
"T20","Bay Oval","Mount Maunganui","Bangladesh","field","New Zealand","Bangladesh","20","6","195","7","8","23","20.4","148","10","15","14","19.3","2016/17","C Munro","New Zealand"
"T20","Bay Oval","Mount Maunganui","Bangladesh","field","New Zealand","Bangladesh","20","6","194","4","16","23","20.2","167","6","4","22","20.3","2016/17","CJ Anderson","New Zealand"
"Test","Basin Reserve","Wellington","New Zealand","field","New Zealand","Bangladesh","undefined","6","595","8","9","89","152.1","539","10","30","62","149.1","2016/17","TWM Latham","New Zealand"
"Test","Hagley Oval","Christchurch","New Zealand","field","New Zealand","Bangladesh","undefined","6","289","10","12","37","84.5","354","10","13","46","93.5","2016/17","TG Southee","New Zealand"
"ODI","Kennington Oval","London","England","field","England","Bangladesh","50","6","305","6","9","36","51.1","308","2","4","35","47.4","2017","JE Root","England"
"ODI","Kennington Oval","London","Bangladesh","bat","Australia","Bangladesh","50","6","182","10","9","13","45","83","1","2","7","16.1","2017","","no result"
"ODI","Sophia Gardens","Cardiff","New Zealand","bat","Bangladesh","New Zealand","50","6","265","8","6","26","51","268","5","20","27","49.4","2017","Shakib Al Hasan","Bangladesh"
"ODI","Edgbaston","Birmingham","India","field","Bangladesh","India","50","6","264","7","23","28","51.4","265","1","0","37","40.1","2017","RG Sharma","India"
"ODI","Shere Bangla National Stadium","Mirpur","England","bat","Bangladesh","England","50","6","309","8","6","34","50.2","288","10","16","32","49.4","2016/17","JT Ball","England"
"ODI","Shere Bangla National Stadium","Mirpur","England","field","Bangladesh","England","50","6","238","8","11","23","51.1","204","10","13","18","45.4","2016/17","Mashrafe Mortaza","Bangladesh"
"ODI","Zahur Ahmed Chowdhury Stadium","Chittagong","England","field","Bangladesh","England","50","6","277","6","18","25","51.5","278","6","6","26","48.5","2016/17","AU Rashid","England"
"Test","Zahur Ahmed Chowdhury Stadium","Chittagong","England","bat","Bangladesh","England","undefined","6","293","10","20","35","106.1","248","10","7","25","86.1","2016/17","BA Stokes","England"
"Test","Shere Bangla National Stadium","Mirpur","Bangladesh","bat","Bangladesh","England","undefined","6","220","10","10","26","63.5","244","10","21","18","81.4","2016/17","Mehedi Hasan Miraz","Bangladesh"
"ODI","Malahide","Dublin","Ireland","field","Ireland","Bangladesh","50","6","157","4","18","19","33.3","0","0","0","0","0","2017","","no result"
"ODI","Clontarf Cricket Club Ground","Dublin","New Zealand","field","Bangladesh","New Zealand","50","6","257","9","12","25","51.3","258","6","14","24","47.5","2017","JDS Neesham","New Zealand"
"ODI","Malahide","Dublin","Bangladesh","field","Ireland","Bangladesh","50","6","181","10","13","13","47.5","182","2","10","23","28.2","2017","Mustafizur Rahman","Bangladesh"
"ODI","Clontarf Cricket Club Ground","Dublin","Bangladesh","field","Bangladesh","New Zealand","50","6","270","8","18","27","50.4","271","5","21","31","50.1","2017","Mushfiqur Rahim","Bangladesh"
"Test","Rajiv Gandhi International Stadium, Uppal","Hyderabad","India","bat","India","Bangladesh","undefined","6","687","6","8","76","166.3","388","10","15","58","127.5","2016/17","V Kohli","India"
"Test","Senwes Park","Potchefstroom","Bangladesh","field","South Africa","Bangladesh","undefined","6","496","3","6","56","146.2","320","10","11","50","89.2","2017/18","D Elgar","South Africa"
"Test","Mangaung Oval","Bloemfontein","Bangladesh","field","South Africa","Bangladesh","undefined","6","573","4","15","76","120.5","147","10","3","24","42.5","2017/18","K Rabada","South Africa"
"ODI","Diamond Oval","Kimberley","Bangladesh","bat","Bangladesh","South Africa","50","6","278","7","15","34","51.4","282","0","4","31","43.3","2017/18","Q de Kock","South Africa"
"ODI","Boland Park","Paarl","Bangladesh","field","South Africa","Bangladesh","50","6","353","6","9","28","51.1","249","10","13","24","49.2","2017/18","AB de Villiers","South Africa"
"ODI","Buffalo Park","East London","South Africa","bat","South Africa","Bangladesh","50","6","369","7","8","43","50.5","169","10","8","21","41.4","2017/18","F du Plessis","South Africa"
"T20","Mangaung Oval","Bloemfontein","South Africa","bat","South Africa","Bangladesh","20","6","195","4","10","20","20.5","175","9","14","21","21.1","2017/18","AB de Villiers","South Africa"
"T20","Senwes Park","Potchefstroom","Bangladesh","field","South Africa","Bangladesh","20","6","224","4","3","31","20.2","141","10","8","16","19.3","2017/18","DA Miller","South Africa"
